Format Version,1.23,Take Name,2_1_stat,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2020-06-18 04.04.37.555 ,Total Frames in Take,1774,Total Exported Frames,1774,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,weight,weight,weight,weight,weight,weight,weight,Unlabeled 1159,Unlabeled 1159,Unlabeled 1159,Unlabeled 1160,Unlabeled 1160,Unlabeled 1160,Unlabeled 1161,Unlabeled 1161,Unlabeled 1161,Unlabeled 1162,Unlabeled 1162,Unlabeled 1162,Unlabeled 1163,Unlabeled 1163,Unlabeled 1163,Unlabeled 1164,Unlabeled 1164,Unlabeled 1164,Unlabeled 1165,Unlabeled 1165,Unlabeled 1165,Unlabeled 1166,Unlabeled 1166,Unlabeled 1166,Unlabeled 1167,Unlabeled 1167,Unlabeled 1167,Unlabeled 1168,Unlabeled 1168,Unlabeled 1168,Unlabeled 1169,Unlabeled 1169,Unlabeled 1169,Unlabeled 1170,Unlabeled 1170,Unlabeled 1170,Unlabeled 1171,Unlabeled 1171,Unlabeled 1171,Unlabeled 1172,Unlabeled 1172,Unlabeled 1172,weight:Marker1,weight:Marker1,weight:Marker1,weight:Marker2,weight:Marker2,weight:Marker2,weight:Marker3,weight:Marker3,weight:Marker3
,ID,"1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","DAB10","DAB10","DAB10","DAB20","DAB20","DAB20","DAB30","DAB30","DAB30","DAB40","DAB40","DAB40","DAB50","DAB50","DAB50","DAB60","DAB60","DAB60","DAB70","DAB70","DAB70","DAB80","DAB80","DAB80","DAB90","DAB90","DAB90","DABA0","DABA0","DABA0","DABB0","DABB0","DABB0","DABC0","DABC0","DABC0","DAC50","DAC50","DAC50","DACD0","DACD0","DACD0","DAAE0","DAAE0","DAAE0","DAAF0","DAAF0","DAAF0","DAB00","DAB00","DAB00"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.621447,-0.682084,-0.335745,0.189317,0.290274,0.325457,0.273716,0.226117,0.293884,0.132945,0.206877,0.293413,0.163575,0.205636,0.692138,0.139130,0.095052,0.557056,-0.143583,0.090201,0.291165,-0.143402,0.064681,0.283319,0.401830,0.063919,0.540481,0.404074,-0.030962,0.294907,0.115161,-0.048944,0.694072,0.125767,-0.070554,0.294997,0.136899,-0.187319,0.422545,-0.011720,-0.200368,0.419460,0.247733,0.346974,0.415644,0.271500,0.359244,0.426204,0.016117,0.303613,0.295616,0.287192,0.301236,0.356736,0.285382,0.265974,0.324019,0.248574
1,0.002778,0.621479,-0.682089,-0.335698,0.189275,0.290271,0.325458,0.273715,0.226122,0.293886,0.132950,0.206879,0.293414,0.163576,0.205636,0.692138,0.139129,0.095052,0.557055,-0.143582,0.090202,0.291165,-0.143400,0.064681,0.283321,0.401832,0.063921,0.540480,0.404073,-0.030958,0.294915,0.115165,-0.048942,0.694070,0.125764,-0.070553,0.295001,0.136899,-0.187320,0.422546,-0.011721,-0.200366,0.419460,0.247734,0.346975,0.415642,0.271499,0.359248,0.426210,0.016123,0.303610,0.295615,0.287195,0.301230,0.356737,0.285382,0.265974,0.324021,0.248570
2,0.005556,0.621460,-0.682079,-0.335731,0.189316,0.290271,0.325456,0.273715,0.226118,0.293883,0.132946,0.206880,0.293413,0.163574,0.205637,0.692136,0.139130,0.095053,0.557056,-0.143581,0.090202,0.291167,-0.143403,0.064682,0.283321,0.401834,0.063922,0.540484,0.404075,-0.030959,0.294915,0.115176,-0.048941,0.694072,0.125769,-0.070554,0.294999,0.136897,-0.187323,0.422543,-0.011724,-0.200368,0.419462,0.247735,0.346972,0.415643,0.271501,0.359246,0.426210,0.016124,0.303610,0.295615,0.287192,0.301232,0.356736,0.285381,0.265972,0.324017,0.248573
3,0.008333,0.621438,-0.682102,-0.335728,0.189310,0.290271,0.325458,0.273718,0.226114,0.293869,0.132948,0.206879,0.293413,0.163574,0.205639,0.692137,0.139126,0.095051,0.557056,-0.143582,0.090202,0.291163,-0.143402,0.064680,0.283319,0.401831,0.063919,0.540482,0.404075,-0.030962,0.294907,0.115176,-0.048943,0.694071,0.125767,-0.070554,0.295000,0.136900,-0.187315,0.422546,-0.011720,-0.200367,0.419463,0.247735,0.346974,0.415643,0.271499,0.359247,0.426210,0.016122,0.303610,0.295615,0.287197,0.301233,0.356737,0.285382,0.265971,0.324023,0.248574
4,0.011111,0.621464,-0.682094,-0.335723,0.189262,0.290272,0.325458,0.273716,0.226118,0.293883,0.132946,0.206878,0.293414,0.163576,0.205636,0.692137,0.139131,0.095050,0.557057,-0.143582,0.090200,0.291165,-0.143400,0.064680,0.283320,0.401833,0.063921,0.540481,0.404073,-0.030963,0.294906,0.115172,-0.048939,0.694080,0.125768,-0.070556,0.295000,0.136900,-0.187317,0.422545,-0.011721,-0.200368,0.419461,0.247735,0.346975,0.415644,0.271500,0.359248,0.426209,0.016124,0.303609,0.295615,0.287193,0.301231,0.356735,0.285382,0.265976,0.324024,0.248573
5,0.013889,0.621440,-0.682112,-0.335724,0.189277,0.290271,0.325457,0.273717,0.226118,0.293884,0.132946,0.206879,0.293415,0.163574,0.205639,0.692137,0.139121,0.095049,0.557056,-0.143580,0.090201,0.291164,-0.143401,0.064678,0.283321,0.401833,0.063917,0.540480,0.404074,-0.030960,0.294906,0.115175,-0.048940,0.694074,0.125767,-0.070555,0.295002,0.136897,-0.187317,0.422546,-0.011718,-0.200366,0.419461,0.247733,0.346974,0.415644,0.271499,0.359249,0.426209,0.016123,0.303607,0.295615,0.287194,0.301233,0.356734,0.285383,0.265973,0.324022,0.248573
6,0.016667,0.621480,-0.682079,-0.335717,0.189275,0.290271,0.325457,0.273715,0.226123,0.293886,0.132951,0.206878,0.293413,0.163577,0.205637,0.692137,0.139128,0.095050,0.557056,-0.143579,0.090203,0.291162,-0.143402,0.064681,0.283323,0.401833,0.063918,0.540484,0.404074,-0.030963,0.294908,0.115161,-0.048942,0.694072,0.125766,-0.070553,0.295003,0.136903,-0.187316,0.422548,-0.011723,-0.200369,0.419459,0.247732,0.346972,0.415645,0.271499,0.359250,0.426209,0.016122,0.303609,0.295615,0.287192,0.301230,0.356737,0.285383,0.265974,0.324019,0.248571
7,0.019444,0.621495,-0.682085,-0.335702,0.189233,0.290269,0.325458,0.273718,0.226123,0.293882,0.132951,0.206877,0.293415,0.163573,0.205637,0.692135,0.139129,0.095051,0.557055,-0.143579,0.090200,0.291167,-0.143399,0.064681,0.283322,0.401834,0.063917,0.540481,0.404076,-0.030959,0.294906,0.115175,-0.048942,0.694073,0.125763,-0.070553,0.295001,0.136901,-0.187312,0.422547,-0.011723,-0.200367,0.419461,0.247733,0.346974,0.415643,0.271500,0.359248,0.426211,0.016127,0.303605,0.295615,0.287195,0.301227,0.356738,0.285388,0.265973,0.324021,0.248571
8,0.022222,0.621451,-0.682108,-0.335710,0.189277,0.290271,0.325457,0.273717,0.226119,0.293883,0.132946,0.206878,0.293412,0.163575,0.205637,0.692136,0.139130,0.095052,0.557056,-0.143580,0.090202,0.291166,-0.143401,0.064682,0.283323,0.401834,0.063919,0.540480,0.404077,-0.030959,0.294916,0.115168,-0.048945,0.694071,0.125765,-0.070553,0.294999,0.136898,-0.187317,0.422547,-0.011722,-0.200368,0.419460,0.247734,0.346971,0.415644,0.271501,0.359249,0.426211,0.016123,0.303607,0.295614,0.287196,0.301232,0.356737,0.285383,0.265973,0.324021,0.248573
9,0.025000,0.621479,-0.682073,-0.335743,0.189253,0.290269,0.325458,0.273715,0.226115,0.293869,0.132948,0.206879,0.293414,0.163576,0.205636,0.692136,0.139127,0.095051,0.557057,-0.143580,0.090200,0.291166,-0.143404,0.064680,0.283321,0.401834,0.063919,0.540484,0.404075,-0.030959,0.294911,0.115163,-0.048941,0.694072,0.125764,-0.070552,0.294999,0.136900,-0.187317,0.422546,-0.011722,-0.200364,0.419462,0.247738,0.346972,0.415641,0.271498,0.359246,0.426208,0.016117,0.303607,0.295615,0.287190,0.301228,0.356735,0.285384,0.265973,0.324023,0.248571
10,0.027778,0.621486,-0.682089,-0.335703,0.189243,0.290268,0.325457,0.273717,0.226116,0.293883,0.132946,0.206878,0.293413,0.163574,0.205635,0.692138,0.139131,0.095052,0.557057,-0.143581,0.090201,0.291166,-0.143399,0.064680,0.283324,0.401834,0.063920,0.540482,0.404074,-0.030962,0.294907,0.115162,-0.048944,0.694072,0.125765,-0.070555,0.295003,0.136900,-0.187314,0.422544,-0.011723,-0.200364,0.419459,0.247734,0.346973,0.415643,0.271499,0.359248,0.426209,0.016125,0.303605,0.295613,0.287194,0.301226,0.356736,0.285384,0.265975,0.324022,0.248573
