Format Version,1.23,Take Name,4_2_dyn_002,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2020-06-18 04.28.37.151 ,Total Frames in Take,4312,Total Exported Frames,4312,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.016667,0.467606,-0.531990,-0.546087,-0.447348,0.094175,0.202213,0.342392,0.203572,0.692170,0.141310,0.357754,0.427338,0.017092,0.345788,0.417612,0.273193,0.225253,0.293984,0.132896,0.205982,0.293329,0.163510,0.092920,0.558317,-0.141492,0.088397,0.294067,-0.142680,0.062168,0.539780,0.406085,-0.031819,0.294878,0.115434,-0.051013,0.693923,0.128801,-0.071475,0.294785,0.137132,-0.189017,0.423175,-0.009960,-0.201638,0.417030,0.250381,0.064591,0.275114,0.402327,,,,,,,,,,,,,,,,,,,,,,,,,0.091326,0.176710,0.317771,0.099776,0.193847,0.376190,0.091423,0.236081,0.333216
7,0.019444,0.464862,-0.530682,-0.547780,-0.449685,0.094073,0.202499,0.341751,0.203565,0.692172,0.141239,0.357739,0.427325,0.017038,0.345801,0.417649,0.273123,0.225252,0.293983,0.132884,0.205985,0.293330,0.163496,0.092881,0.558270,-0.141548,0.088369,0.294000,-0.142723,0.062186,0.539807,0.406039,-0.031809,0.294869,0.115438,-0.050998,0.693927,0.128748,-0.071476,0.294790,0.137125,-0.189031,0.423167,-0.009982,-0.201625,0.417065,0.250350,0.064611,0.275286,0.402302,,,,,,,,,,,,,,,,,,,,,,,,,0.091124,0.177182,0.316879,0.099690,0.193865,0.375533,0.091405,0.236450,0.332842
8,0.022222,0.462183,-0.529359,-0.549573,-0.451814,0.093969,0.202777,0.341145,0.203558,0.692157,0.141171,0.357728,0.427320,0.016993,0.345817,0.417679,0.273057,0.225253,0.293985,0.132874,0.205984,0.293334,0.163485,0.092862,0.558238,-0.141588,0.088349,0.293937,-0.142756,0.062203,0.539832,0.406001,-0.031809,0.294868,0.115430,-0.050989,0.693927,0.128709,-0.071475,0.294794,0.137115,-0.189044,0.423158,-0.009993,-0.201613,0.417092,0.250318,0.064639,0.275450,0.402281,,,,,,,,,,,,,,,,,,,,,,,,,0.090926,0.177651,0.316037,0.099599,0.193939,0.374839,0.091382,0.236741,0.332559
9,0.025000,0.459387,-0.528275,-0.551298,-0.453828,0.093879,0.203077,0.340553,0.203548,0.692156,0.141123,0.357715,0.427314,0.016952,0.345830,0.417714,0.273013,0.225255,0.293986,0.132869,0.205983,0.293336,0.163478,0.092851,0.558207,-0.141642,0.088332,0.293885,-0.142783,0.062221,0.539848,0.405975,-0.031817,0.294877,0.115406,-0.050980,0.693925,0.128672,-0.071476,0.294796,0.137105,-0.189061,0.423147,-0.010004,-0.201602,0.417114,0.250289,0.064657,0.275612,0.402258,,,,,,,,,,,,,,,,,,,,,,,,,0.090727,0.178114,0.315229,0.099534,0.194031,0.374153,0.091377,0.237087,0.332276
10,0.027778,0.452112,-0.531622,-0.560471,-0.445921,0.094250,0.203447,0.339830,0.203540,0.692155,0.141088,0.358003,0.427426,0.017308,0.345835,0.417742,0.272972,0.225257,0.293986,0.132863,0.205984,0.293341,0.163472,0.092830,0.558178,-0.141661,0.088308,0.293837,-0.142815,0.062242,0.539855,0.405957,-0.031807,0.294870,0.115416,-0.050974,0.693925,0.128649,-0.071482,0.294801,0.137103,-0.189078,0.423135,-0.010006,-0.201596,0.417137,0.250262,0.064671,0.275755,0.402251,,,,,,,,,,,,,,,,,,,,,,,,,0.090536,0.178572,0.314396,0.100880,0.194401,0.373165,0.091334,0.237367,0.331930
11,0.030556,-0.239945,0.158657,-0.675490,-0.678946,0.092797,0.203108,0.339104,0.203533,0.692159,0.141062,0.357986,0.427416,0.017283,0.345849,0.417771,0.272920,0.225255,0.293985,0.132858,0.205987,0.293344,0.163470,0.092804,0.558158,-0.141671,0.088302,0.293802,-0.142843,0.062251,0.539863,0.405951,-0.031820,0.294879,0.115400,-0.050972,0.693930,0.128626,-0.071482,0.294800,0.137098,-0.189090,0.423122,-0.010006,-0.201588,0.417162,0.250241,0.064693,0.275899,0.402236,,,,,,,,,,,,,,,,,,,,,,,,,0.091329,0.237690,0.331619,0.090350,0.178998,0.313605,0.096713,0.192636,0.372089
12,0.033333,-0.242863,0.161108,-0.673963,-0.678848,0.092692,0.203350,0.338552,0.203515,0.692161,0.141043,0.357974,0.427410,0.017267,0.345856,0.417798,0.272884,0.225255,0.293987,0.132857,0.205982,0.293348,0.163454,0.092789,0.558150,-0.141678,0.088288,0.293772,-0.142862,0.062255,0.539872,0.405945,-0.031809,0.294870,0.115409,-0.050978,0.693928,0.128608,-0.071478,0.294807,0.137097,-0.189103,0.423112,-0.010000,-0.201585,0.417183,0.250223,0.064705,0.276033,0.402231,,,,,,,,,,,,,,,,,,,,,,,,,0.091291,0.237968,0.331350,0.090155,0.179448,0.312843,0.096629,0.192635,0.371462
13,0.036111,,,,,,,,0.203505,0.692164,0.141031,0.357966,0.427407,0.017256,0.345857,0.417823,0.272861,0.225258,0.293990,0.132853,0.205986,0.293350,0.163453,0.092776,0.558148,-0.141682,0.088278,0.293748,-0.142880,0.062253,0.539881,0.405943,-0.031821,0.294879,0.115396,-0.050985,0.693926,0.128596,-0.071484,0.294805,0.137093,-0.189115,0.423108,-0.009991,-0.201585,0.417200,0.250206,0.064703,0.276166,0.402206,,,,,,,,,,,,,,,,,,,,,,,,,0.089967,0.179873,0.312060,0.091275,0.238233,0.331073,,,
14,0.038889,-0.249033,0.165864,-0.670800,-0.678601,0.092524,0.203747,0.337387,0.203501,0.692167,0.141025,0.357957,0.427406,0.017247,0.345856,0.417861,0.272847,0.225259,0.293990,0.132852,0.205986,0.293351,0.163451,0.092763,0.558147,-0.141684,0.088268,0.293722,-0.142896,0.062256,0.539905,0.405946,-0.031822,0.294882,0.115394,-0.050984,0.693928,0.128592,-0.071482,0.294808,0.137094,-0.189124,0.423109,-0.009988,-0.201584,0.417217,0.250190,0.064703,0.276288,0.402195,,,,,,,,,,,,,,,,,,,,,,,,,0.091247,0.238498,0.330733,0.089800,0.180266,0.311316,0.096523,0.192479,0.370111
15,0.041667,-0.253181,0.167058,-0.668947,-0.678603,0.092457,0.203921,0.336825,0.203492,0.692167,0.141023,0.357952,0.427409,0.017243,0.345856,0.417878,0.272843,0.225255,0.293993,0.132855,0.205985,0.293354,0.163452,0.092741,0.558145,-0.141665,0.088264,0.293705,-0.142907,0.062248,0.539922,0.405953,-0.031817,0.294883,0.115396,-0.050988,0.693931,0.128598,-0.071482,0.294808,0.137092,-0.189133,0.423115,-0.009987,-0.201589,0.417229,0.250180,0.064699,0.276385,0.402180,,,,,,,,,,,,,,,,,,,,,,,,,0.091210,0.238719,0.330460,0.089562,0.180640,0.310556,0.096598,0.192404,0.369459
